,area_cells,TAXNAME,clade
abrotanifolium,187,abrotanifolium,B
acetosum,9,acetosum,C2
aciculatum,8,aciculatum,Hoarea
acraeum,23,acraeum,C2
adriaanii,4,adriaanii,unk
aestivale,18,aestivale,Hoarea
album,4,album,B
alchemilloides,388,alchemilloides,C2
alpinum,9,alpinum,A1
alternans,76,alternans,A2
althaeoides,41,althaeoides,Camp
anceps,34,anceps,B
anethifolium,22,anethifolium,A2
antidysentericum,10,antidysentericum,C1
appendiculatum,9,appendiculatum,A2
aridicola,7,aridicola,Hoarea
aridum,122,aridum,C2
aristatum,10,aristatum,Hoarea
articulatum,23,articulatum,C2
asarifolium,20,asarifolium,Hoarea
auritum,62,auritum,Hoarea
barklyi,14,barklyi,C2
betulinum,47,betulinum,A1
bowkeri,38,bowkeri,A2
bubonifolium,7,bubonifolium,Hoarea
burgerianum,4,burgerianum,Camp
caespitosum,4,caespitosum,Camp
caffrum,15,caffrum,A2
caledonicum,9,caledonicum,Hoarea
campestre,4,campestre,Hoarea
candicans,62,candicans,C1
capillare,13,capillare,Camp
capitatum,132,capitatum,A1
capituliforme,8,capituliforme,C1
carneum,34,carneum,Hoarea
carnosum,103,carnosum,A2
caroli-henrici,7,caroli-henrici,Hoarea
caucalifolium,48,caucalifolium,C1
ceratophyllum,8,ceratophyllum,A2
chelidonium,19,chelidonium,Hoarea
citronellum,18,citronellum,A1
columbinum,11,columbinum,B
confertum,6,confertum,Hoarea
cordifolium,62,cordifolium,A1
coronopifolium,29,coronopifolium,Camp
crassicaule,6,crassicaule,A2
crassipes,6,crassipes,A2
crispum,53,crispum,A1
crithmifolium,126,crithmifolium,A2
cucullatum,38,cucullatum,A1
curviandrum,7,curviandrum,Hoarea
dasyphyllum,28,dasyphyllum,A2
denticulatum,29,denticulatum,A1
desertorum,4,desertorum,A2
dichondrifolium,46,dichondrifolium,B
dipetalum,28,dipetalum,Hoarea
dispar,13,dispar,B
divisifolium,7,divisifolium,C1
dolomiticum,46,dolomiticum,C1
echinatum,72,echinatum,A2
elandskloof,2,elandskloof,Hoarea
elegans,19,elegans,Camp
ellaphieae,7,ellaphieae,Hoarea
elongatum,26,elongatum,C2
englerianum,43,englerianum,A1
exhibens,7,exhibens,C1
exstipulatum,16,exstipulatum,B
fasciculaceum,6,fasciculaceum,Hoarea
fergusoniae,14,fergusoniae,Hoarea
fissifolium,29,fissifolium,Hoarea
flabellifolium,8,flabellifolium,A2
frutetorum,3,frutetorum,C2
fruticosum,42,fruticosum,A1
fulgidum,45,fulgidum,A2
fumariifolium,6,fumariifolium,Hoarea
gibbosum,33,gibbosum,A2
gilgianum,4,gilgianum,unk
githagineum,5,githagineum,Hoarea
glutinosum,85,glutinosum,A1
gracillimum,9,gracillimum,Hoarea
grandicalcaratum,47,grandicalcaratum,C2
grandiflorum,24,grandiflorum,A1
graveolens,32,graveolens,A1
grenvilleae,8,grenvilleae,Hoarea
greytonense,7,greytonense,A1
griseum,14,griseum,C1
grossularioides,155,grossularioides,B
hermanniifolium,25,hermanniifolium,A1
heterophyllum,6,heterophyllum,Hoarea
hirtipetalum,4,hirtipetalum,Hoarea
hirtum,34,hirtum,A2
hispidum,42,hispidum,A1
hypoleucum,8,hypoleucum,B
hystrix,7,hystrix,A2
incarnatum,20,incarnatum,A1
incrassatum,36,incrassatum,Hoarea
inquinans,39,inquinans,C2
iocastum,22,iocastum,B
ionidiflorum,10,ionidiflorum,B
karooicum,14,karooicum,C2
klinghardtense,6,klinghardtense,A2
ladysmithianum,4,ladysmithianum,Hoarea
laevigatum,55,laevigatum,A1
lanceolatum,13,lanceolatum,A1
laxum,24,laxum,A2
leipoldtii,21,leipoldtii,Hoarea
leptum,5,leptum,Hoarea
leucophyllum,11,leucophyllum,unk
lobatum,80,lobatum,A2
longicaule,112,longicaule,C1
longiflorum,41,longiflorum,Hoarea
longifolium,68,longifolium,Hoarea
luridum,246,luridum,A2
luteolum,29,luteolum,Hoarea
magenteum,40,magenteum,A2
minimum,390,minimum,B
moniliforme,49,moniliforme,Hoarea
multicaule,124,multicaule,C1
multiradiatum,9,multiradiatum,A2
mutans,4,mutans,C1
myrrhifolium,109,myrrhifolium,C1
nanum,14,nanum,A2
nelsonii,7,nelsonii,unk
nephrophyllum,2,nephrophyllum,Hoarea
nervifolium,24,nervifolium,Hoarea
oblongatum,11,oblongatum,Hoarea
odoratissimum,99,odoratissimum,B
oenothera,18,oenothera,Camp
oreophilum,4,oreophilum,A2
ovale,91,ovale,Camp
Pakhuispas,6,Pakhuispas,Hoarea
pallidoflavum,4,pallidoflavum,Hoarea
panduriforme,38,panduriforme,A1
papilionaceum,27,papilionaceum,A1
parviflorum,8,parviflorum,A2
parvipetalum,11,parvipetalum,Hoarea
parvirostre,7,parvirostre,unk
patulum,30,patulum,A1
peltatum,152,peltatum,C2
petroselinifolium,6,petroselinifolium,Hoarea
pillansii,16,pillansii,A2
pilosellifolium,25,pilosellifolium,Hoarea
pinnatum,78,pinnatum,Hoarea
pinnatum-kompleks,4,pinnatum-kompleks,Hoarea
plurisectum,7,plurisectum,C1
praemorsum,61,praemorsum,C1
proliferum,58,proliferum,Hoarea
psammophilum,13,psammophilum,Hoarea
pseudofumarioides,24,pseudofumarioides,B
pseudoglutinosum,5,pseudoglutinosum,B
pulchellum,36,pulchellum,A2
pulverulentum,41,pulverulentum,A2
punctatum,7,punctatum,Hoarea
quercifolium,28,quercifolium,A1
radens,31,radens,A1
radiatum,7,radiatum,Hoarea
radulifolium,22,radulifolium,A2
ranunculophyllum,22,ranunculophyllum,C2
rapaceum,124,rapaceum,Hoarea
redactum,5,redactum,C1
reflexipetalum,2,reflexipetalum,Hoarea
reflexum,3,reflexum,Hoarea
reniforme,88,reniforme,B
ribifolium,41,ribifolium,A1
Robertson,6,Robertson,Hoarea
rubiginosum,4,rubiginosum,Hoarea
scabroide,9,scabroide,A1
scabrum,118,scabrum,A1
schizopetalum,28,schizopetalum,A2
senecioides,59,senecioides,C1
sericifolium,9,sericifolium,A2
setulosum,18,setulosum,A1
sidoides,242,sidoides,B
spinosum,18,spinosum,C2
stipulaceum,17,stipulaceum,A2
sublignosum,13,sublignosum,A2
suburbanum,24,suburbanum,C1
tabulare,46,tabulare,A1
tenellum,10,tenellum,Hoarea
tenuicaule,7,tenuicaule,C1
ternatum,14,ternatum,A1
ternifolium,18,ternifolium,Hoarea
tetragonum,51,tetragonum,C1
tomentosum,12,tomentosum,A1
torulosum,5,torulosum,Hoarea
tragacanthoides,103,tragacanthoides,C1
transvaalense,5,transvaalense,C2
triandrum,7,triandrum,Hoarea
tricolor,24,tricolor,Camp
trifidum,29,trifidum,C1
trifoliolatum,23,trifoliolatum,Hoarea
triphyllum,13,triphyllum,Hoarea
triste,163,triste,A2
undulatum,15,undulatum,Hoarea
viciifolium,13,viciifolium,Hoarea
vinaceum,6,vinaceum,Hoarea
violiflorum,7,violiflorum,Hoarea
vitifolium,19,vitifolium,A1
worcesterae,6,worcesterae,C1
xerophyton,12,xerophyton,A2
zonale,98,zonale,C2
